chr	start	end	num_snp	k	local_h2g	var	se	z	p
1	58865399	59890409	1773	50	8.4351e-05	1.0935e-08	0.00010457	0.80663	0.20994
1	59890409	61922365	2469	50	4.5576e-05	1.7594e-08	0.00013264	0.3436	0.36557
1	61922365	63455089	2289	50	9.0689e-05	1.7006e-08	0.00013041	0.69543	0.24339
1	63455089	65041704	2971	50	5.556e-05	1.675e-08	0.00012942	0.4293	0.33385
1	65041704	66939404	2873	50	0.00060822	2.1005e-08	0.00014493	4.1966	1.355e-05
1	66939404	68477895	2885	50	0.00012582	1.6447e-08	0.00012825	0.98109	0.16328
1	68477895	69687616	1632	50	2.4691e-05	9.8416e-09	9.9205e-05	0.24888	0.40173
1	69687616	71372470	2634	50	3.4878e-05	1.5029e-08	0.00012259	0.2845	0.38801
1	71372470	71684405	514	20	1.1614e-05	3.7696e-09	6.1397e-05	0.18916	0.42498
1	71684405	74326907	3151	50	7.4719e-05	2.0222e-08	0.0001422	0.52543	0.29964
1	74326907	76728135	3459	50	8.3877e-05	1.7696e-08	0.00013303	0.63053	0.26417
1	76728135	79661198	4619	50	0.00016747	2.5985e-08	0.0001612	1.0389	0.14942
1	79661198	81354191	2772	50	6.0321e-05	1.747e-08	0.00013218	0.45637	0.32406
1	81354191	83991748	4606	50	2.6666e-05	2.4436e-08	0.00015632	0.17059	0.43227
1	83991748	84844495	1190	50	2.4456e-05	7.6565e-09	8.7501e-05	0.27949	0.38993
1	84844495	86454751	2803	50	0.00010285	1.8181e-08	0.00013484	0.76277	0.2228
1	86454751	88128631	2909	50	0.00031577	2.0436e-08	0.00014295	2.2089	0.01359
1	88128631	90066303	2381	50	8.206e-05	1.5149e-08	0.00012308	0.66672	0.25248
1	90066303	91886317	2543	50	7.898e-05	1.5816e-08	0.00012576	0.628	0.265
1	91886317	93536459	2419	50	0.00045053	2.1352e-08	0.00014612	3.0832	0.0010239
1	93536459	94506191	1140	47	0.00032974	1.2123e-08	0.0001101	2.9948	0.0013732
1	94506191	96150893	2647	50	9.1529e-05	1.7443e-08	0.00013207	0.69302	0.24415
1	96150893	97885249	2645	50	3.5043e-05	1.5212e-08	0.00012334	0.28412	0.38816
1	97885249	99800604	2746	50	7.0455e-05	1.5236e-08	0.00012343	0.57079	0.28407
1	99800604	100826405	1173	50	0.00013646	1.1103e-08	0.00010537	1.295	0.097653
1	100826405	102041016	2008	50	0.00077834	1.8741e-08	0.0001369	5.6856	6.5173e-09
1	102041016	102898745	1606	50	4.6114e-05	8.675e-09	9.314e-05	0.49511	0.31026
1	102898745	103914211	1657	46	4.724e-05	1.0788e-08	0.00010386	0.45482	0.32462
1	103914211	106087842	3786	50	5.9195e-05	1.6955e-08	0.00013021	0.45461	0.32469
1	106087842	108409665	3684	50	0.00015684	2.1719e-08	0.00014737	1.0642	0.14361
1	108409665	110303931	2587	50	9.7357e-05	1.7206e-08	0.00013117	0.7422	0.22898
1	110303931	111741737	2385	50	0.00015388	1.783e-08	0.00013353	1.1525	0.12457
1	111741737	113273306	2727	50	0.00012315	1.7721e-08	0.00013312	0.92507	0.17746
1	113273306	114873845	2210	50	5.6239e-05	1.5031e-08	0.0001226	0.45872	0.32322
1	114873845	115880593	1385	50	7.3766e-05	1.0257e-08	0.00010128	0.72836	0.2332
1	115880593	118839067	3917	50	0.00020932	2.6324e-08	0.00016225	1.2901	0.098503
1	118839067	144977494	2387	50	9.3184e-05	1.5989e-08	0.00012645	0.73694	0.23058
1	144977494	148361253	1879	50	2.8924e-05	1.5928e-08	0.0001262	0.22918	0.40936
1	148361253	151538881	1856	50	0.00087179	2.3524e-08	0.00015338	5.684	6.5793e-09
1	151538881	153180829	2262	50	9.8375e-05	1.5501e-08	0.0001245	0.79014	0.21472
1	153180829	154770403	2121	50	0.00010551	1.3677e-08	0.00011695	0.90222	0.18347
1	154770403	156336133	1197	50	0.00018661	1.1962e-08	0.00010937	1.7062	0.043984
1	156336133	158027412	2617	50	0.00018492	1.8016e-08	0.00013422	1.3777	0.084148
1	158027412	159913048	3378	50	0.00016092	2.0566e-08	0.00014341	1.1221	0.13091
1	159913048	162346721	3599	50	0.00030766	2.5835e-08	0.00016073	1.9141	0.027803
1	162346721	165191702	4925	50	3.966e-05	2.6131e-08	0.00016165	0.24534	0.4031
1	165191702	166460517	2243	50	6.9519e-05	1.4479e-08	0.00012033	0.57774	0.28172
1	166460517	169086324	4616	50	0.0002335	2.7947e-08	0.00016717	1.3968	0.081241
1	169086324	170557776	2990	50	0.00015254	1.4478e-08	0.00012033	1.2677	0.10245
1	170557776	173097907	4076	50	0.00045557	2.5281e-08	0.000159	2.8652	0.0020835
1	173097907	175089768	2301	50	0.00030642	1.6628e-08	0.00012895	2.3763	0.0087436
1	175089768	177433381	3388	50	5.7752e-05	1.9732e-08	0.00014047	0.41113	0.34049
1	177433381	178944309	1959	50	0.00011232	1.3249e-08	0.00011511	0.97579	0.16458
1	178944309	178954470	12	1	-1.1885e-06	1.0288e-10	1.0143e-05	0	0.5
1	178954470	181144121	4095	50	0.0001832	2.4023e-08	0.00015499	1.182	0.11861
1	181144121	182755356	2660	50	7.6312e-05	1.7208e-08	0.00013118	0.58174	0.28037
1	182755356	184595513	2701	50	0.00010075	1.624e-08	0.00012744	0.79056	0.2146
1	184595513	186810023	2508	50	0.0001042	1.5415e-08	0.00012416	0.83922	0.20067
1	186810023	188759945	4484	50	2.0193e-05	1.8774e-08	0.00013702	0.14737	0.44142
1	188759945	189904130	1447	38	2.7729e-05	1.0896e-08	0.00010438	0.26564	0.39526
1	189904130	191868930	3345	50	6.7569e-05	1.6602e-08	0.00012885	0.52441	0.3
1	191868930	194107442	3152	50	8.3066e-05	1.8463e-08	0.00013588	0.61131	0.2705
1	194107442	196176201	3903	50	4.1283e-05	1.7673e-08	0.00013294	0.31054	0.37808
1	196176201	197311514	1181	35	8.7462e-05	7.3159e-09	8.5533e-05	1.0226	0.15326
1	197311514	199239884	2348	50	0.0011392	2.7034e-08	0.00016442	6.9285	2.1269e-12
1	199239884	200137649	1783	50	0.00020066	1.1413e-08	0.00010683	1.8783	0.030173
1	200137649	201589975	2773	50	0.00013459	1.9408e-08	0.00013931	0.96607	0.167
1	201589975	203334734	2438	50	0.00013733	1.9206e-08	0.00013859	0.99093	0.16086
1	203334734	204681068	2198	50	0.00017409	1.7209e-08	0.00013118	1.3271	0.092236
1	204681068	206073265	2109	50	0.00011156	1.5471e-08	0.00012438	0.89688	0.18489
1	206073265	208410364	2544	50	0.00032876	2.0877e-08	0.00014449	2.2753	0.011445
1	208410364	210787750	3757	50	5.7368e-05	2.5844e-08	0.00016076	0.35686	0.3606
1	210787750	212842330	3287	50	0.00012556	2.1726e-08	0.0001474	0.85183	0.19716
1	212842330	214578266	2495	50	0.00020243	1.8928e-08	0.00013758	1.4713	0.0706
1	214578266	216243634	2660	50	2.7087e-05	1.6608e-08	0.00012887	0.21018	0.41676
1	216243634	218705513	4363	50	-6.329e-07	2.504e-08	0.00015824	0	0.5
1	218705513	219590571	1672	50	2.0488e-05	9.4229e-09	9.7072e-05	0.21106	0.41642
1	219590571	221858231	3435	50	0.00034655	2.2649e-08	0.0001505	2.3027	0.010647
1	221858231	222230220	623	37	0.00010525	5.5505e-09	7.4502e-05	1.4127	0.078875
1	222230220	224938520	3766	50	0.00013722	2.6289e-08	0.00016214	0.84629	0.19869
1	224938520	226810860	2741	50	7.3129e-05	2.0013e-08	0.00014147	0.51693	0.3026
1	226810860	229156248	4024	50	0.00023771	2.3672e-08	0.00015386	1.545	0.061177
1	229156248	230685255	2238	50	0.000243	1.7762e-08	0.00013327	1.8233	0.03413
1	230685255	232090252	2475	50	8.6414e-05	1.7096e-08	0.00013075	0.6609	0.25434
1	232090252	233429284	2513	50	5.1274e-05	1.77e-08	0.00013304	0.3854	0.34997
1	233429284	234599434	2491	50	3.7871e-06	1.646e-08	0.0001283	0.029519	0.48823
1	234599434	235819436	1973	50	0.00025651	1.7735e-08	0.00013317	1.9261	0.027046
1	235819436	237555628	3319	50	8.2487e-05	2.4597e-08	0.00015683	0.52595	0.29946
1	237555628	238567807	2249	50	7.621e-05	1.5138e-08	0.00012304	0.6194	0.26783
1	238567807	239925314	2468	50	2.7009e-05	1.5867e-08	0.00012597	0.21442	0.41511
1	239925314	240564091	1578	50	3.7708e-05	1.0987e-08	0.00010482	0.35974	0.35952
1	240564091	241582220	1948	50	3.4842e-05	1.6207e-08	0.00012731	0.27369	0.39216
1	241582220	242071602	943	50	0.0001159	8.0685e-09	8.9825e-05	1.2903	0.098481
1	242071602	244109499	3322	50	0.00011491	2.4075e-08	0.00015516	0.7406	0.22947
1	244109499	245506746	2507	50	8.4095e-06	1.9282e-08	0.00013886	0.060561	0.47585
1	245506746	247344518	4109	50	7.5026e-05	2.6531e-08	0.00016288	0.46061	0.32254
1	247344518	249239466	3204	50	7.083e-05	2.2083e-08	0.00014861	0.47663	0.31681
2	10133	1781022	3987	50	7.7144e-05	2.5499e-08	0.00015968	0.48311	0.31451
2	1781022	3973779	4493	50	4.1521e-05	2.6247e-08	0.00016201	0.25629	0.39886
2	3973779	5708337	3054	50	6.0042e-05	2.0402e-08	0.00014284	0.42035	0.33711
2	5708337	6836254	2420	50	5.1732e-06	1.5047e-08	0.00012267	0.042173	0.48318
2	6836254	8422147	2557	50	0.00017875	1.91e-08	0.0001382	1.2934	0.097932
2	8422147	10298469	3371	50	0.00044023	2.8083e-08	0.00016758	2.627	0.0043073
2	10298469	12419150	4691	50	0.00013839	2.711e-08	0.00016465	0.84051	0.20031
2	12419150	14335308	3466	50	0.00021634	2.3401e-08	0.00015297	1.4142	0.078654
2	14335308	16329735	3367	50	4.6231e-05	2.2837e-08	0.00015112	0.30592	0.37983
2	16329735	18647423	3804	50	1.9425e-05	2.3846e-08	0.00015442	0.1258	0.44995
2	18647423	19692404	1571	50	7.7985e-05	1.0676e-08	0.00010333	0.75475	0.2252
2	19692404	21050490	2742	50	0.00011623	1.924e-08	0.00013871	0.83796	0.20103
2	21050490	23341383	2482	50	2.0481e-05	2.0019e-08	0.00014149	0.14475	0.44245
2	23341383	24686918	2095	50	6.9154e-05	1.6037e-08	0.00012664	0.54607	0.29251
2	24686918	26894985	2665	50	0.00023038	2.1589e-08	0.00014693	1.568	0.058445
2	26894985	28598777	1314	50	0.00013229	1.2995e-08	0.000114	1.1605	0.12292
2	28598777	29217559	1059	50	0.0004826	1.2364e-08	0.00011119	4.3402	7.1171e-06
2	29217559	30463711	2306	50	9.3062e-05	1.8824e-08	0.0001372	0.67829	0.24879
2	30463711	31550450	2324	50	0.00022721	1.9133e-08	0.00013832	1.6427	0.050227
2	31550450	33363777	2345	50	5.2126e-05	2.2402e-08	0.00014967	0.34827	0.36382
2	33363777	35345028	4248	50	8.2244e-05	2.6608e-08	0.00016312	0.50419	0.30706
2	35345028	36122006	2035	50	4.1902e-05	1.2278e-08	0.0001108	0.37816	0.35265
2	36122006	38132712	3874	50	0.0001632	2.7348e-08	0.00016537	0.98689	0.16185
2	38132712	39031337	1516	50	0.00015556	1.5498e-08	0.00012449	1.2495	0.10574
2	39031337	40281483	1376	50	6.8488e-05	1.3329e-08	0.00011545	0.59323	0.27651
2	40281483	43309590	5973	50	0.00020539	2.7756e-08	0.0001666	1.2328	0.10882
2	43309590	44313803	1758	50	0.00020304	1.6445e-08	0.00012824	1.5834	0.05667
2	44313803	46482634	4137	50	0.00010955	2.6836e-08	0.00016382	0.66876	0.25182
2	46482634	47318772	1661	50	6.1256e-05	1.4532e-08	0.00012055	0.50815	0.30568
2	47318772	48213001	1563	50	8.1059e-05	1.4926e-08	0.00012217	0.66348	0.25351
2	48213001	50022257	3445	50	6.5623e-05	2.6423e-08	0.00016255	0.4037	0.34322
2	50022257	50818928	1672	50	5.7828e-05	1.2784e-08	0.00011307	0.51144	0.30452
2	50818928	52491133	2917	50	4.3652e-05	2.3565e-08	0.00015351	0.28436	0.38807
2	52491133	53508452	2382	50	3.1507e-05	1.7756e-08	0.00013325	0.23645	0.40654
2	53508452	54685226	2128	50	0.00014676	1.8496e-08	0.000136	1.0791	0.14027
2	54685226	56203345	2673	50	0.00022377	2.1962e-08	0.00014819	1.51	0.065525
2	56203345	57429100	2027	50	4.8423e-05	1.6288e-08	0.00012762	0.37942	0.35219
2	57429100	58297315	1799	50	9.4629e-06	1.1929e-08	0.00010922	0.086641	0.46548
2	58297315	60292000	2693	50	4.1951e-05	2.4303e-08	0.00015589	0.2691	0.39393
2	60292000	62429044	2565	50	0.00029344	2.416e-08	0.00015543	1.8879	0.029522
2	62429044	64625913	2554	50	0.00015418	2.3747e-08	0.0001541	1.0005	0.15854
2	64625913	65933444	2043	50	0.00021967	1.6671e-08	0.00012912	1.7013	0.044441
2	65933444	67226166	1906	50	0.00013157	1.5365e-08	0.00012396	1.0614	0.14426
2	67226166	68010176	1667	50	3.1052e-05	1.2158e-08	0.00011026	0.28162	0.38912
2	68010176	69139564	2072	50	9.1411e-05	1.3889e-08	0.00011785	0.77564	0.21898
2	69139564	70755198	2288	50	0.00019451	1.58e-08	0.0001257	1.5475	0.060877
2	70755198	73174848	3647	50	0.00027297	2.834e-08	0.00016835	1.6215	0.052456
2	73174848	75630086	3248	50	0.00024392	2.8075e-08	0.00016756	1.4558	0.07273
2	75630086	76913661	2501	50	2.097e-05	1.5662e-08	0.00012515	0.16756	0.43346
2	76913661	78079264	2259	50	7.1599e-05	1.6735e-08	0.00012937	0.55346	0.28997
2	78079264	80050403	3830	50	6.9625e-05	2.34e-08	0.00015297	0.45516	0.3245
2	80050403	81620841	2408	50	1.1946e-05	1.7072e-08	0.00013066	0.091426	0.46358
2	81620841	85140680	5926	50	0.00011073	2.6836e-08	0.00016382	0.67597	0.24953
2	85140680	88038507	2986	50	0.00023617	2.1782e-08	0.00014759	1.6002	0.054779
2	88038507	89154526	1097	50	0.00011499	1.0421e-08	0.00010208	1.1264	0.13
2	89154526	95326452	220	12	0.00010668	3.1668e-09	5.6275e-05	1.8957	0.029001
2	95326452	98995201	2181	50	0.001514	3.5288e-08	0.00018785	8.0594	3.8331e-16
2	98995201	101822329	4016	50	0.00017109	2.6117e-08	0.00016161	1.0587	0.14487
2	101822329	102688765	1349	50	0.00093192	1.644e-08	0.00012822	7.2682	1.8211e-13
2	102688765	103588215	1771	50	0.0044228	4.9619e-08	0.00022275	19.855	4.9445e-88
2	103588215	105125034	1589	50	0.00023011	1.4855e-08	0.00012188	1.888	0.029512
2	105125034	106210058	1814	50	0.00010488	1.2374e-08	0.00011124	0.94285	0.17288
2	106210058	107408267	2314	50	0.00018441	1.5388e-08	0.00012405	1.4866	0.068558
2	107408267	108429177	1794	50	1.0574e-05	9.5862e-09	9.7909e-05	0.108	0.457
2	108429177	110572432	2799	50	4.4985e-05	1.7944e-08	0.00013395	0.33583	0.3685
2	110572432	113921856	3289	50	0.00099339	2.9969e-08	0.00017311	5.7384	4.78e-09
2	113921856	116772470	3886	50	9.2163e-05	2.4718e-08	0.00015722	0.5862	0.27887
2	116772470	118367466	2468	50	5.819e-05	1.8377e-08	0.00013556	0.42926	0.33387
2	118367466	121303783	4550	50	4.4232e-05	2.625e-08	0.00016202	0.27301	0.39242
2	121303783	123302906	3042	50	8.1933e-05	2.1675e-08	0.00014722	0.55652	0.28893
2	123302906	124732250	2816	50	4.3023e-05	1.1672e-08	0.00010804	0.39822	0.34523
2	124732250	125840921	1994	50	4.784e-05	1.0857e-08	0.0001042	0.45914	0.32307
2	125840921	127373764	3003	50	1.2697e-05	1.4452e-08	0.00012022	0.10562	0.45794
2	127373764	128034347	1490	50	2.2569e-05	9.2517e-09	9.6186e-05	0.23464	0.40725
2	128034347	129474441	2377	50	4.8752e-05	1.4738e-08	0.0001214	0.40158	0.344
2	129474441	130067170	1142	50	2.7764e-05	6.3632e-09	7.977e-05	0.34806	0.3639
2	130067170	130658085	1014	48	6.4959e-05	6.6913e-09	8.1801e-05	0.79411	0.21356
2	130658085	133042784	2206	50	3.5737e-05	1.6097e-08	0.00012687	0.28167	0.3891
2	133042784	135158578	3457	50	0.00012491	2.54e-08	0.00015937	0.78376	0.21659
2	135158578	137042794	1757	50	0.00038926	2.0492e-08	0.00014315	2.7192	0.0032718
2	137042794	138698117	3076	50	0.00010315	2.3314e-08	0.00015269	0.67553	0.24967
2	138698117	140100271	2230	50	6.3874e-05	1.1565e-08	0.00010754	0.59396	0.27627
2	140100271	141805351	3321	50	2.7268e-05	1.6803e-08	0.00012963	0.21036	0.41669
2	141805351	142518602	1648	50	4.8137e-05	1.0193e-08	0.00010096	0.4768	0.31675
2	142518602	144519484	2996	50	0.00021397	2.0467e-08	0.00014306	1.4956	0.067373
2	144519484	146445570	1701	50	0.0002122	1.434e-08	0.00011975	1.772	0.038194
2	146445570	147277162	748	39	5.3663e-05	6.4627e-09	8.0391e-05	0.66752	0.25222
2	147277162	150210292	3326	50	0.00017985	2.2363e-08	0.00014954	1.2027	0.11455
2	150210292	151731462	2073	50	6.2378e-05	1.2943e-08	0.00011377	0.54829	0.29175
2	151731462	152486782	1358	50	4.9008e-05	9.0177e-09	9.4961e-05	0.51609	0.3029
2	152486782	154005056	2292	50	4.1874e-05	1.6335e-08	0.00012781	0.32763	0.3716
2	154005056	155391135	2588	50	8.5961e-05	1.5634e-08	0.00012504	0.68749	0.24589
2	155391135	157560635	2846	50	0.00011129	1.8419e-08	0.00013572	0.81998	0.20611
2	157560635	158533218	645	46	0.00019727	7.5601e-09	8.6949e-05	2.2689	0.011639
2	158533218	159577082	1715	50	8.1685e-05	1.1292e-08	0.00010627	0.76869	0.22104
2	159577082	161769733	3693	50	0.00019102	2.2931e-08	0.00015143	1.2614	0.10358
2	161769733	163503551	1600	50	0.00038941	1.4573e-08	0.00012072	3.2258	0.00062816
2	163503551	164466638	1147	50	0.00010868	1.0638e-08	0.00010314	1.0537	0.14602
2	164466638	165178840	787	41	7.0952e-05	6.683e-09	8.175e-05	0.86792	0.19272
2	165178840	167160270	2847	50	0.00012866	1.7524e-08	0.00013238	0.97187	0.16556
2	167160270	167355970	356	17	-3.4555e-07	2.1622e-09	4.65e-05	0	0.5
2	167355970	169968236	3918	50	0.00010615	2.6816e-08	0.00016375	0.6482	0.25843
2	169968236	171226245	2504	50	8.4089e-05	1.5927e-08	0.0001262	0.6663	0.25261
2	171226245	173138905	3012	50	9.042e-05	2.1698e-08	0.0001473	0.61384	0.26966
2	173138905	175588929	3980	50	0.00020903	2.7745e-08	0.00016657	1.2549	0.10475
2	175588929	177363636	2547	50	6.1591e-05	1.8268e-08	0.00013516	0.4557	0.3243
2	177363636	178553183	1908	50	0.00011744	1.3807e-08	0.0001175	0.99948	0.15878
2	178553183	181312739	4648	50	6.9645e-05	2.6449e-08	0.00016263	0.42824	0.33424
2	181312739	182266031	1765	50	0.00020294	1.1391e-08	0.00010673	1.9014	0.028624
2	182266031	184357608	2964	50	0.00012742	1.9494e-08	0.00013962	0.91266	0.18071
2	184357608	185280173	1837	50	6.9096e-05	1.0595e-08	0.00010293	0.67127	0.25103
2	185280173	189882065	5885	50	0.00016798	2.7403e-08	0.00016554	1.0147	0.15511
2	189882065	191973357	2456	50	0.0001436	1.9954e-08	0.00014126	1.0166	0.15468
2	191973357	195861164	3747	50	0.00013755	2.7125e-08	0.0001647	0.83518	0.20181
2	195861164	196447456	730	37	4.2753e-05	7.4551e-09	8.6343e-05	0.49515	0.31025
2	196447456	198078110	2014	50	0.00027426	1.9669e-08	0.00014025	1.9556	0.025258
2	198078110	199311125	1370	50	0.00014931	1.1824e-08	0.00010874	1.3731	0.084853
2	199311125	201576284	2393	50	0.00010793	1.9801e-08	0.00014072	0.767	0.22154
2	201576284	202818637	1395	50	0.00016071	1.0986e-08	0.00010481	1.5334	0.062594
2	202818637	205799241	3297	50	0.00043504	2.8386e-08	0.00016848	2.5821	0.0049094
2	205799241	206735704	1335	50	4.1208e-05	1.2006e-08	0.00010957	0.37609	0.35343
2	206735704	208645399	3018	50	0.0001797	2.1743e-08	0.00014746	1.2187	0.11149
2	208645399	209941529	1820	50	0.00010874	1.3089e-08	0.00011441	0.95049	0.17093
2	209941529	212379518	3951	50	0.000196	2.5372e-08	0.00015929	1.2305	0.10925
2	212379518	214014282	3270	50	0.0017615	3.7095e-08	0.0001926	9.1461	2.9525e-20
2	214014282	215573795	2428	50	0.00036107	1.8603e-08	0.00013639	2.6473	0.0040569
2	215573795	217715661	3309	50	4.8761e-05	2.4736e-08	0.00015728	0.31003	0.37827
2	217715661	218395480	1167	50	6.4725e-05	9.583e-09	9.7893e-05	0.66118	0.25425
2	218395480	220454551	2256	50	9.255e-05	1.8636e-08	0.00013651	0.67795	0.2489
2	220454551	222521176	3873	50	3.0908e-05	2.3994e-08	0.0001549	0.19953	0.42092
2	222521176	224859419	3789	50	5.1169e-05	2.1253e-08	0.00014578	0.35099	0.3628
2	224859419	225840004	1700	50	5.5823e-05	9.2485e-09	9.6169e-05	0.58046	0.2808
2	225840004	228119842	3649	50	0.0001257	1.8508e-08	0.00013604	0.92398	0.17775
2	228119842	229370787	2781	50	0.0001441	1.5843e-08	0.00012587	1.1449	0.12613
2	229370787	231843389	4704	50	0.00034441	2.8949e-08	0.00017014	2.0242	0.021475
2	231843389	233550003	2523	50	0.00015172	2.0557e-08	0.00014338	1.0582	0.14499
2	233550003	235150987	3006	50	0.00039801	2.3346e-08	0.00015279	2.6049	0.0045952
2	235150987	236043550	2155	50	5.2587e-05	1.7077e-08	0.00013068	0.40241	0.34369
2	236043550	237449032	2484	50	7.2628e-05	1.6798e-08	0.00012961	0.56037	0.28761
2	237449032	238760981	2695	50	0.00011558	1.8545e-08	0.00013618	0.84871	0.19802
2	238760981	239952643	2455	50	0.00015182	1.8499e-08	0.00013601	1.1162	0.13217
2	239952643	241560084	4023	50	7.5187e-05	2.6566e-08	0.00016299	0.4613	0.32229
2	241560084	242149921	912	50	0.00019941	8.6605e-09	9.3062e-05	2.1427	0.016067
2	242149921	243188920	85	4	-3.741e-06	7.5207e-10	2.7424e-05	0	0.5
3	60157	1441779	2760	50	4.42e-05	2.428e-08	0.00015582	0.28366	0.38834
3	1441779	2992120	4300	50	3.1316e-05	2.6143e-08	0.00016169	0.19368	0.42321
3	2992120	4431647	3277	50	0.00048578	3.023e-08	0.00017387	2.794	0.0026032
3	4431647	6083183	3506	50	6.1482e-05	2.6407e-08	0.0001625	0.37834	0.35259
3	6083183	7083387	2097	50	2.6377e-05	1.7526e-08	0.00013239	0.19925	0.42104
3	7083387	8648561	3730	50	2.9276e-05	2.6047e-08	0.00016139	0.1814	0.42803
3	8648561	9543183	1769	50	9.7917e-05	1.6193e-08	0.00012725	0.76948	0.2208
3	9543183	11019665	2540	50	0.00014881	2.2589e-08	0.0001503	0.99008	0.16107
3	11019665	13070799	3227	50	0.0006601	3.0134e-08	0.00017359	3.8026	7.159e-05
3	13070799	14816900	3542	50	0.00013143	2.7069e-08	0.00016453	0.79882	0.2122
3	14816900	16282442	2219	50	6.1319e-05	1.5859e-08	0.00012593	0.48693	0.31316
3	16282442	17891118	2304	50	0.00044965	2.0151e-08	0.00014195	3.1676	0.00076857
3	17891118	19125144	1792	50	0.00040678	1.5103e-08	0.00012289	3.31	0.00046644
3	19125144	20091348	1036	50	4.7691e-05	7.5421e-09	8.6845e-05	0.54915	0.29145
3	20091348	21643707	3475	50	5.7297e-05	2.2482e-08	0.00014994	0.38214	0.35118
3	21643707	22204244	1980	50	5.6293e-05	1.4487e-08	0.00012036	0.4677	0.32
3	22204244	23804865	3093	50	9.6891e-05	2.1659e-08	0.00014717	0.65836	0.25515
3	23804865	25461558	3237	50	0.00023725	2.7071e-08	0.00016453	1.4419	0.074661
3	25461558	26877769	2125	50	6.0546e-05	1.4632e-08	0.00012096	0.50053	0.30835
3	26877769	27840910	1672	50	0.00029638	1.3439e-08	0.00011593	2.5566	0.0052849
3	27840910	29142260	2051	50	0.00018222	1.5987e-08	0.00012644	1.4411	0.074776
3	29142260	30717955	3227	50	6.8376e-05	2.402e-08	0.00015499	0.44118	0.32954
3	30717955	32351715	2811	50	7.3405e-05	2.1174e-08	0.00014551	0.50446	0.30697
3	32351715	33255592	1553	50	0.00048922	1.596e-08	0.00012633	3.8725	5.3856e-05
3	33255592	35283458	3182	50	4.4595e-05	1.9234e-08	0.00013869	0.32155	0.3739
